Date,StackedEnsemble_G10,PolicyAgent_G10
2004-12-22,1.0153266228055118,1.0314728411173775
2004-12-23,1.0174274728657184,1.0314728411173775
2004-12-24,1.0174274728657184,1.0314728411173775
2004-12-27,1.0182937252582527,1.0314728411173775
2004-12-28,1.0182937252582527,1.0314728411173775
2004-12-29,1.0182937252582527,1.0314728411173775
2004-12-30,1.0182937252582527,1.0314728411173775
2004-12-31,1.0182937252582527,1.0314728411173775
2005-01-03,1.0182937252582527,1.0314728411173775
2005-01-04,1.0182937252582527,1.0314728411173775
2005-01-05,1.0183657623428086,1.0314728411173775
2005-01-06,1.0175205790010162,1.0314728411173775
2005-01-07,1.0169792992238866,1.0314728411173775
2005-01-10,1.0179345381879048,1.0314728411173775
2005-01-11,1.0189558494179538,1.0314728411173775
2005-01-12,1.019242140724407,1.0313939862735724
2005-01-13,1.0191675598249086,1.0310222420099204
2005-01-14,1.0188159641558459,1.0306905151683063
2005-01-17,1.0181072717264297,1.0307430905276798
2005-01-18,1.0177594184397276,1.031129039697734
2005-01-19,1.0183225258158,1.0302471168598797
2005-01-20,1.0170562773723457,1.0308753216899822
2005-01-21,1.018313705205206,1.030958074814028
2005-01-24,1.0185453004583715,1.0300515793685423
2005-01-25,1.0176476217122425,1.0309658359925802
2005-01-26,1.0185529861506337,1.03056322297455
2005-01-27,1.018154289002181,1.0302221642726517
2005-01-28,1.0178165474841172,1.0300880754159591
2005-01-31,1.0176793273877247,1.030800833508065
2005-02-01,1.0184023768564971,1.030800833508065
2005-02-02,1.0184023768564971,1.030800833508065
2005-02-03,1.0184023768564971,1.030800833508065
2005-02-04,1.0184023768564971,1.0302310622444757
2005-02-07,1.0178097489347948,1.0311730947849729
2005-02-08,1.0185414482547064,1.0317094660073167
2005-02-09,1.019539858493875,1.0317094660073167
2005-02-10,1.019539858493875,1.0318509577454735
2005-02-11,1.0196743356212639,1.033838899779602
